vertex_index,distance,angle,elev_8,x,y,elev_Ap,relief,velocity
215,921.83902564616221,247.72096908588065,5287.278,486564.238,3106599.557,5327.000,39.293,1.168
216,926.38528943513040,216.29361878795436,5287.278,486560.031,3106597.833,5327.000,39.293,1.168
217,931.22825316523756,184.86626848707920,5287.655,486559.620,3106593.008,5326.000,40.003,1.168
218,936.07121689580902,184.86626848707920,5287.871,486559.209,3106588.182,5326.000,40.003,1.168
219,940.91418062591617,184.86626848731285,5288.926,486558.798,3106583.357,5326.000,40.003,1.168
220,945.75714435602356,175.04968118379520,5288.926,486558.387,3106578.531,5325.000,40.003,1.168
221,949.86206079587021,165.23309388027758,5290.529,486559.434,3106574.562,5325.000,40.003,1.168
222,953.96697723571697,165.23309388027758,5291.518,486560.480,3106570.592,5325.000,39.293,1.168
223,958.07189367556373,165.23309388027758,5292.105,486561.526,3106566.623,5325.000,39.293,1.168
224,962.17681011541060,162.01627510720397,5292.105,486562.572,3106562.654,5325.000,39.293,1.168
225,966.41927959010900,158.79945633449677,5292.037,486564.107,3106558.698,5325.000,40.113,1.168
226,970.66174906478636,158.79945633449677,5292.037,486565.641,3106554.743,5326.000,40.113,1.168
227,974.90421853948499,147.10965034391077,5293.463,486567.175,3106550.788,5324.000,42.920,1.168
228,979.38691806380064,135.41984435395614,5293.300,486570.322,3106547.595,5324.000,41.413,1.168
229,983.86961758807547,135.41984435395614,5293.300,486573.468,3106544.402,5326.000,41.413,1.168
230,988.35231711239101,150.70528604397845,5295.185,486576.614,3106541.209,5326.000,42.496,1.168
231,992.24779882462155,165.99072773343667,5295.185,486577.557,3106537.429,5326.000,42.496,1.168
232,996.14328053640020,165.99072773343667,5297.527,486578.500,3106533.650,5326.000,42.697,1.168
233,1000.03876224863052,160.72329517444635,5297.527,486579.444,3106529.870,5327.000,42.697,1.168
234,1003.59353205072341,155.45586261505372,5299.992,486580.920,3106526.637,5327.000,42.612,1.168
235,1007.14830185279186,155.45586261505372,5299.992,486582.397,3106523.403,5327.000,42.612,1.168
236,1010.70307165488452,136.47524187223715,5297.366,486583.873,3106520.170,5327.000,39.942,1.168
237,1014.82771899587135,117.49462112966069,5297.955,486587.532,3106518.265,5328.000,38.894,2.715
238,1018.95236633690979,117.49462112966069,5297.955,486591.191,3106516.361,5328.000,38.894,2.715
239,1023.07701367789662,117.49462112966069,5295.044,486594.850,3106514.457,5327.000,36.910,2.715
240,1027.20166101893506,117.49462112966069,5295.044,486598.509,3106512.553,5327.000,36.910,2.715
241,1031.32630835992200,117.35529845008448,5290.828,486602.167,3106510.648,5327.000,37.023,2.715
242,1035.26773155175806,117.21597577012808,5290.828,486605.672,3106508.846,5325.000,37.023,2.715
243,1039.20915474364597,117.21597577313800,5288.609,486609.177,3106507.043,5325.000,37.023,2.715
244,1043.15057793569508,117.21597577333152,5288.609,486612.683,3106505.241,5325.000,37.023,2.715
245,1047.09200112753115,142.79019282521199,5288.004,486616.188,3106503.438,5325.000,36.262,2.715
246,1050.83699645090246,168.36440988010233,5288.004,486616.943,3106499.770,5323.000,36.262,2.715
247,1054.58199177427377,180.64761876724381,5288.004,486617.698,3106496.102,5323.000,36.262,2.715
248,1058.69925593313610,192.93082765478005,5288.610,486616.777,3106492.089,5325.000,38.916,2.715
249,1062.81652009201139,192.93082765477999,5288.610,486615.856,3106488.076,5325.000,38.916,2.715
250,1066.93378425087371,209.26089299404157,5289.137,486614.934,3106484.063,5325.000,41.277,2.715
251,1070.69718787028114,225.59095833400792,5289.137,486612.246,3106481.430,5326.000,41.277,2.715
252,1074.46059148973018,215.85531069988525,5289.512,486609.557,3106478.796,5326.000,41.509,2.715
253,1078.32003183378265,206.11966306354279,5289.512,486607.858,3106475.331,5326.000,41.509,3.743
254,1082.17947217822757,200.47625410626597,5289.803,486606.159,3106471.866,5326.000,41.509,3.743
255,1085.32771356941475,221.25522179312580,5289.803,486605.353,3106468.822,5327.000,41.509,3.743
256,1090.31132723522774,247.67759843287664,5289.803,486600.743,3106466.930,5329.000,41.509,3.743
257,1095.29494090121761,234.29855457143233,5291.160,486596.133,3106465.037,5329.000,41.509,3.743
258,1099.69699815090394,220.91951071019304,5290.849,486593.250,3106461.710,5329.000,41.039,3.743
259,1104.09905540090404,220.91951071019304,5293.421,486590.366,3106458.384,5331.000,40.308,2.677
260,1108.50111265059036,211.05336688777635,5293.705,486587.483,3106455.058,5331.000,40.308,2.677
261,1112.41649828927075,201.18722306308857,5293.705,486586.068,3106451.407,5331.000,40.308,2.677
262,1116.33188392795114,201.18722306431997,5293.907,486584.653,3106447.756,5331.000,40.308,2.677
263,1120.24726956619725,201.18722306431991,5296.765,486583.238,3106444.106,5331.000,37.083,2.677
264,1124.16265520487764,186.87518080559732,5296.765,486581.823,3106440.455,5331.000,37.083,2.677
265,1128.14484872564049,172.56313854808772,5297.303,486582.338,3106436.506,5331.000,37.083,2.677
266,1132.12704224593426,172.56313854808766,5297.303,486582.853,3106432.557,5331.000,37.083,2.677
267,1136.10923576669711,173.73457229602144,5298.264,486583.369,3106428.609,5331.000,37.083,2.677
268,1139.78481756072233,174.90600604406640,5298.264,486583.695,3106424.948,5331.000,37.083,2.677
269,1143.46039935427848,174.90600604406640,5297.899,486584.021,3106421.287,5331.000,39.881,2.677
270,1147.13598114830370,186.09927445417728,5297.899,486584.348,3106417.626,5332.000,39.881,2.677
271,1150.10753651428558,197.29254286441781,5299.005,486583.465,3106414.788,5332.000,35.951,2.677
272,1153.07909188026747,192.32716982672451,5299.005,486582.581,3106411.951,5332.000,35.951,2.677
273,1157.29000382115987,187.36179678942401,5299.918,486582.042,3106407.775,5332.000,35.772,2.677
274,1161.50091576205978,179.66524965530593,5299.918,486581.502,3106403.599,5333.000,35.772,2.677
275,1166.05095805442670,171.96870252002256,5301.975,486582.138,3106399.093,5333.000,35.772,2.677
276,1170.60100034634070,171.96870252002253,5301.975,486582.774,3106394.588,5333.000,35.772,2.677
277,1175.15104263870762,160.50247971124170,5303.609,486583.409,3106390.082,5334.000,35.767,2.677
278,1179.90704625953254,149.03625690283084,5301.424,486585.856,3106386.004,5334.000,38.991,2.677
279,1184.66304988078673,149.03625690283084,5301.612,486588.303,3106381.926,5334.000,38.663,2.677
280,1189.41905350161164,163.53941358161879,5301.612,486590.750,3106377.848,5334.000,38.663,2.677
281,1193.29462889753063,178.04257026209686,5301.289,486590.882,3106373.974,5334.000,37.409,2.677
282,1197.17020429391300,178.04257026209686,5301.289,486591.015,3106370.101,5334.000,37.409,2.677
283,1201.04577968983199,184.14722949147827,5300.370,486591.147,3106366.228,5334.000,35.667,2.677
284,1205.26773945857008,190.25188872101873,5300.370,486590.396,3106362.073,5334.000,35.667,2.677
285,1209.48969922729793,190.25188872006771,5298.141,486589.644,3106357.919,5334.000,33.791,2.677
286,1213.71165899648395,190.25188872045635,5298.141,486588.893,3106353.764,5335.000,33.791,2.677
287,1217.93361876522204,183.07720316691515,5295.830,486588.142,3106349.610,5335.000,33.791,2.677
288,1222.92233837791264,175.90251761242294,5295.830,486588.498,3106344.634,5335.000,33.791,2.345
289,1227.91105799060324,175.90251761242294,5295.648,486588.855,3106339.658,5335.000,33.791,2.345
290,1232.89977760329384,184.97967024215791,5296.118,486589.211,3106334.682,5335.000,33.791,2.345
291,1237.79722220068629,194.05682287222325,5296.118,486588.021,3106329.931,5336.000,33.791,2.345
