vertex_index,distance,angle,elev,x,y,Velocity,relief
87,286.64432242389671,274.44922652977488,4594.603,-1484024.591,784775.871,142.723,25.129
88,289.65421480681698,266.54393704009499,4594.603,-1484027.484,784775.042,142.723,25.129
89,291.53355648517885,298.80567038789735,4594.603,-1484029.340,784775.339,142.723,25.129
90,295.32722487217262,319.26932304910935,4594.603,-1484031.852,784778.181,142.723,25.129
91,298.89528513188839,321.61440344582684,4596.727,-1484034.145,784780.915,142.723,27.012
92,301.57947060487868,323.21844368605940,4595.894,-1484035.752,784783.065,142.723,27.012
93,304.26365607772959,323.99906751874266,4595.894,-1484037.359,784785.215,142.723,27.012
94,307.35638208029303,324.77969134881374,4595.894,-1484039.143,784787.741,142.723,27.012
95,310.44910808276137,326.38794285915560,4598.018,-1484040.927,784790.268,142.723,28.684
96,314.52498374523844,331.61474338751691,4597.346,-1484043.087,784793.724,142.723,28.684
97,317.04765087714117,342.68215505871177,4597.346,-1484044.144,784796.015,142.723,28.684
98,320.62484998860486,350.13101771250916,4597.124,-1484044.757,784799.539,145.792,28.684
99,324.20204910006856,356.46727870157650,4597.124,-1484045.370,784803.063,145.792,28.684
100,327.64337396597750,2.80353969059651,4597.124,-1484045.202,784806.501,145.792,28.684
101,331.08469883200269,6.51058343509019,4597.143,-1484045.033,784809.938,145.792,28.684
102,335.90529613253545,10.21762717963128,4597.143,-1484044.178,784814.682,145.792,28.684
103,340.72589343306822,6.57786384586255,4596.963,-1484043.323,784819.426,145.792,28.684
104,343.75836931480995,2.93810051203747,4596.963,-1484043.168,784822.455,145.792,28.684
105,346.79084519666793,3.23589178589575,4596.316,-1484043.012,784825.483,145.792,28.593
106,349.31505550504227,3.53368305717297,4596.316,-1484042.857,784828.002,145.792,28.593
107,351.83926581340222,358.62612551743456,4596.316,-1484042.701,784830.522,145.792,28.593
108,355.12557144856453,353.71856797842713,4595.495,-1484043.061,784833.788,145.792,28.051
109,358.41187708386803,344.92850547392737,4595.495,-1484043.420,784837.055,145.792,28.051
110,361.43004199843426,336.13844297290814,4595.495,-1484044.641,784839.815,145.792,28.051
111,364.44820691279966,333.32681706040273,4594.793,-1484045.862,784842.575,145.792,27.383
112,368.55014655371826,330.51519114773868,4594.793,-1484047.881,784846.146,145.792,27.383
113,372.65208619452210,315.95911359027406,4595.690,-1484049.900,784849.717,145.792,28.171
114,376.28740512870178,305.85159659244351,4595.690,-1484053.003,784851.611,145.792,28.171
115,379.07653797899354,310.30015715103440,4595.690,-1484055.130,784853.415,145.792,28.171
116,381.86567082938762,317.33456441315809,4597.736,-1484057.257,784855.219,145.792,28.949
117,385.23440898781456,324.36897167877316,4596.841,-1484059.220,784857.957,145.792,28.153
118,388.60314714601128,326.96382089915363,4596.841,-1484061.182,784860.695,145.792,28.153
119,393.54100495803016,325.45766542287953,4596.841,-1484063.684,784864.952,145.792,28.153
120,396.20467873321695,321.35666072725758,4597.987,-1484065.347,784867.033,145.792,29.115
121,398.86835250840375,322.79249846627266,4597.987,-1484067.011,784869.113,145.792,29.115
122,401.55429815896957,332.44136629448639,4597.987,-1484068.581,784871.292,145.792,29.115
123,405.28703410907485,340.65439638368508,4597.322,-1484069.817,784874.814,145.792,28.488
124,409.01977005918008,338.30811118958820,4597.322,-1484071.054,784878.336,145.792,28.488
125,412.36478689146719,335.96182599549127,4597.322,-1484072.416,784881.391,145.792,28.488
126,415.70980372375431,339.66513370146833,4598.479,-1484073.779,784884.446,145.792,29.106
